Team,3PA,SRS,season,Pace
Anderson Packers*,,2.42,1950,
Baltimore Bullets,,-4.55,1950,
Boston Celtics,,-1.73,1950,
Central Division,,Central Division,1950,
Chicago Stags*,,2.06,1950,
Denver Nuggets,,-11.31,1950,
Eastern Division,,Eastern Division,1950,
Fort Wayne Pistons*,,1.84,1950,
Indianapolis Olympians*,,2.59,1950,
Minneapolis Lakers*,,8.25,1950,
New York Knicks*,,2.53,1950,
Philadelphia Warriors*,,-2.27,1950,
Rochester Royals*,,7.72,1950,
Sheboygan Red Skins*,,-5.85,1950,
St. Louis Bombers,,-2.01,1950,
Syracuse Nationals*,,6.48,1950,
Tri-Cities Blackhawks*,,-1.43,1950,
Washington Capitols*,,-0.28,1950,
Waterloo Hawks,,-5.96,1950,
Western Division,,Western Division,1950,
Baltimore Bullets,,-1.94,1951,
Boston Celtics*,,-0.41,1951,
Eastern Division,,Eastern Division,1951,
Fort Wayne Pistons*,,-1.81,1951,
Indianapolis Olympians*,,-2.00,1951,
Minneapolis Lakers*,,4.79,1951,
New York Knicks*,,0.49,1951,
Philadelphia Warriors*,,3.40,1951,
Rochester Royals*,,2.54,1951,
Syracuse Nationals*,,0.62,1951,
Tri-Cities Blackhawks,,-3.22,1951,
Washington Capitols,,-4.63,1951,
Western Division,,Western Division,1951,
Baltimore Bullets,,-6.60,1952,
Boston Celtics*,,3.60,1952,
Eastern Division,,Eastern Division,1952,
Fort Wayne Pistons*,,-1.83,1952,
Indianapolis Olympians*,,0.08,1952,
Milwaukee Hawks,,-7.04,1952,
Minneapolis Lakers*,,5.28,1952,
New York Knicks*,,0.67,1952,
Philadelphia Warriors*,,-1.08,1952,
Rochester Royals*,,2.92,1952,
Syracuse Nationals*,,3.94,1952,
Western Division,,Western Division,1952,
Baltimore Bullets*,,-5.80,1953,
Boston Celtics*,,1.94,1953,
Eastern Division,,Eastern Division,1953,
Fort Wayne Pistons*,,0.17,1953,
Indianapolis Olympians*,,-2.30,1953,
Milwaukee Hawks,,-2.49,1953,
Minneapolis Lakers*,,5.54,1953,
New York Knicks*,,4.39,1953,
Philadelphia Warriors,,-7.75,1953,
Rochester Royals*,,2.62,1953,
Syracuse Nationals*,,3.62,1953,
Western Division,,Western Division,1953,
Baltimore Bullets,,-5.98,1954,
Boston Celtics*,,1.97,1954,
Eastern Division,,Eastern Division,1954,
Fort Wayne Pistons*,,1.45,1954,
Milwaukee Hawks,,-4.55,1954,
Minneapolis Lakers*,,2.71,1954,
New York Knicks*,,-0.16,1954,
Philadelphia Warriors,,-1.89,1954,
Rochester Royals*,,2.24,1954,
Syracuse Nationals*,,4.27,1954,
Western Division,,Western Division,1954,
Baltimore Bullets,,,1955,
Baltimore Bullets (1),,,1955,
Boston Celtics*,,-0.03,1955,
Eastern Division,,Eastern Division,1955,
Fort Wayne Pistons*,,2.01,1955,
Milwaukee Hawks,,-2.66,1955,
Minneapolis Lakers*,,0.96,1955,
New York Knicks*,,0.11,1955,
Philadelphia Warriors,,-0.19,1955,
Rochester Royals*,,-1.43,1955,
Syracuse Nationals*,,1.23,1955,
Western Division,,Western Division,1955,
Boston Celtics*,,0.72,1956,
Eastern Division,,Eastern Division,1956,
Fort Wayne Pistons*,,0.45,1956,
Minneapolis Lakers*,,-0.92,1956,
New York Knicks*,,-0.20,1956,
Philadelphia Warriors*,,3.82,1956,
Rochester Royals,,-2.61,1956,
St. Louis Hawks*,,-1.42,1956,
Syracuse Nationals*,,0.17,1956,
Western Division,,Western Division,1956,
Boston Celtics*,,4.78,1957,
Eastern Division,,Eastern Division,1957,
Fort Wayne Pistons*,,-2.18,1957,
Minneapolis Lakers*,,-0.89,1957,
New York Knicks,,0.07,1957,
Philadelphia Warriors*,,1.54,1957,
Rochester Royals,,-2.08,1957,
St. Louis Hawks*,,-0.27,1957,
Syracuse Nationals*,,-1.03,1957,
Western Division,,Western Division,1957,
Boston Celtics*,,5.02,1958,
Cincinnati Royals*,,-1.47,1958,
Detroit Pistons*,,-2.32,1958,
Eastern Division,,Eastern Division,1958,
Minneapolis Lakers,,-5.78,1958,
New York Knicks,,1.35,1958,
Philadelphia Warriors*,,0.21,1958,
St. Louis Hawks*,,0.82,1958,
Syracuse Nationals*,,2.18,1958,
Western Division,,Western Division,1958,
Boston Celtics*,,5.84,1959,
Cincinnati Royals,,-7.89,1959,
Detroit Pistons*,,-1.36,1959,
Eastern Division,,Eastern Division,1959,
Minneapolis Lakers*,,-1.42,1959,
New York Knicks*,,0.49,1959,
Philadelphia Warriors,,-2.29,1959,
St. Louis Hawks*,,2.89,1959,
